año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2016,1.1300000000000000e+02,0,0,232,4338,0,0
2016,6.1900000000000000e+02,188,596,0,0,0,0
2016,1.6300000000000000e+02,0,0,0,0,0,0
2016,1.3100000000000000e+02,0,0,0,0,0,0
2016,3.7500000000000000e+02,0,0,0,0,0,0
2016,1.0900000000000000e+03,12602,48794,0,0,0,0
2016,7.6400000000000000e+02,1827,12377,2784,5683,58,120
2016,1.4000000000000000e+01,770,770,0,0,0,0
2016,6.5700000000000000e+02,1421,2843,0,0,0,0
2016,3.6200000000000000e+02,0,0,0,0,0,0
2016,9.8900000000000000e+02,334,2107,0,0,0,0
2016,9.9000000000000000e+02,400,2360,0,0,0,0
2016,6.8000000000000000e+02,34625,59743,0,0,0,0
2016,4.1100000000000000e+02,291,2323,0,0,0,0
2016,2.4100000000000000e+02,180,903,0,0,0,0
2016,5.5800000000000000e+02,7759,61858,0,0,0,0
2016,1.6700000000000000e+02,0,0,0,0,0,0
2016,2.4800000000000000e+02,302,1351,0,0,0,0
2016,2.2400000000000000e+02,0,0,0,0,0,0
2016,5.9100000000000000e+02,5965,53684,60,2338,0,0
2016,5.8600000000000000e+02,17329,50045,3751,3751,0,0
2016,4.5300000000000000e+02,355,2695,0,0,0,0
2016,1.4500000000000000e+02,0,0,0,0,0,0
2016,5.1100000000000000e+02,19334,20502,0,0,0,0
2016,5.3000000000000000e+02,3827,32261,0,0,0,0
2016,6.0000000000000000e+00,0,0,0,0,0,0
2016,1.6100000000000000e+02,0,0,0,0,0,0
2016,6.2300000000000000e+02,2543,12379,0,0,0,0
2016,8.7500000000000000e+02,107,552,0,0,0,0
2016,9.4600000000000000e+02,0,0,0,0,0,0
2016,1.0230000000000000e+03,5910,35879,0,0,0,0
2016,1.0540000000000000e+03,1418,8102,0,0,0,0
2016,1.0570000000000000e+03,0,0,0,0,0,0
2016,1.0310000000000000e+03,51,4397,0,0,0,0
2016,1.0320000000000000e+03,5653,28692,0,0,0,0
2016,1.0640000000000000e+03,0,0,0,0,0,0
2016,2.2600000000000000e+02,0,0,0,0,0,0
2016,6.8700000000000000e+02,725,3283,73,2038,0,0
2016,7.4500000000000000e+02,7239,13199,267,10702,0,0
2016,1.0900000000000000e+02,0,0,0,0,0,0
2016,8.0800000000000000e+02,1055,2026,65,4016,0,0
2016,9.7100000000000000e+02,1121,1763,0,0,0,0
2016,1.2800000000000000e+02,0,0,0,0,0,0
2016,9.1900000000000000e+02,1026,9262,200,1426,0,0
2016,7.2500000000000000e+02,6607,16047,0,0,0,0
2016,3.0000000000000000e+00,0,0,0,0,0,0
2016,3.0600000000000000e+02,0,0,0,0,0,0
2016,1.5000000000000000e+01,0,0,0,0,0,0
