año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2016,1.1300000000000000e+02,0,0
2016,6.1900000000000000e+02,0,0
2016,1.6300000000000000e+02,0,0
2016,1.3100000000000000e+02,0,0
2016,3.7500000000000000e+02,0,0
2016,1.0900000000000000e+03,1052,16135
2016,7.6400000000000000e+02,0,0
2016,1.4000000000000000e+01,0,0
2016,6.5700000000000000e+02,0,0
2016,3.6200000000000000e+02,0,0
2016,9.8900000000000000e+02,0,0
2016,9.9000000000000000e+02,0,0
2016,6.8000000000000000e+02,2513,22800
2016,4.1100000000000000e+02,0,0
2016,2.4100000000000000e+02,0,0
2016,5.5800000000000000e+02,1415,10473
2016,1.6700000000000000e+02,0,0
2016,2.4800000000000000e+02,0,0
2016,2.2400000000000000e+02,0,0
2016,5.9100000000000000e+02,478,10907
2016,5.8600000000000000e+02,3734,12666
2016,4.5300000000000000e+02,0,0
2016,1.4500000000000000e+02,0,0
2016,5.1100000000000000e+02,2218,13882
2016,5.3000000000000000e+02,1410,6838
2016,6.0000000000000000e+00,0,0
2016,1.6100000000000000e+02,0,0
2016,6.2300000000000000e+02,1243,14991
2016,8.7500000000000000e+02,0,0
2016,9.4600000000000000e+02,0,0
2016,1.0230000000000000e+03,844,8685
2016,1.0540000000000000e+03,1059,1059
2016,1.0570000000000000e+03,0,0
2016,1.0310000000000000e+03,0,0
2016,1.0320000000000000e+03,908,11012
2016,1.0640000000000000e+03,0,0
2016,2.2600000000000000e+02,0,0
2016,6.8700000000000000e+02,0,0
2016,7.4500000000000000e+02,0,0
2016,1.0900000000000000e+02,0,0
2016,8.0800000000000000e+02,0,0
2016,9.7100000000000000e+02,0,0
2016,1.2800000000000000e+02,0,0
2016,9.1900000000000000e+02,237,1626
2016,7.2500000000000000e+02,0,0
2016,3.0000000000000000e+00,0,0
2016,3.0600000000000000e+02,0,0
2016,1.5000000000000000e+01,0,0
2016,2.6400000000000000e+02,0,0
2016,8.6700000000000000e+02,0,0
2016,9.1000000000000000e+02,0,0
2016,1.0530000000000000e+03,0,0
2016,1.0550000000000000e+03,0,0
2016,1.0810000000000000e+03,0,0
2016,1.0990000000000000e+03,0,0
2016,5.2900000000000000e+02,0,0
2016,3.4500000000000000e+02,0,0
2016,5.1500000000000000e+02,0,0
2016,1.7400000000000000e+02,0,0
2016,5.2300000000000000e+02,0,0
2016,6.9700000000000000e+02,0,0
2016,2.3900000000000000e+02,0,0
2016,2.8700000000000000e+02,34,2288
2016,3.7700000000000000e+02,0,0
2016,6.9200000000000000e+02,474,5545
2016,3.3500000000000000e+02,0,0
2016,4.3500000000000000e+02,0,0
2016,4.2300000000000000e+02,0,0
2016,3.5100000000000000e+02,0,0
2016,8.1000000000000000e+02,,0
2016,8.3000000000000000e+02,0,0
2016,8.9200000000000000e+02,0,0
2016,9.2100000000000000e+02,0,0
2016,9.9100000000000000e+02,0,0
2016,9.9200000000000000e+02,80,1772
2016,9.9300000000000000e+02,0,0
2016,1.0700000000000000e+03,790,6649
2016,1.0950000000000000e+03,0,0
2016,1.0940000000000000e+03,0,0
2016,4.7300000000000000e+02,0,0
2016,6.6300000000000000e+02,125,143
2016,5.5200000000000000e+02,0,0
2016,7.7200000000000000e+02,587,7044
2016,5.6800000000000000e+02,0,0
2016,3.9800000000000000e+02,0,0
2016,3.9400000000000000e+02,0,0
2016,6.1400000000000000e+02,0,0
2016,2.3500000000000000e+02,0,0
2016,6.1600000000000000e+02,597,6030
2016,2.6700000000000000e+02,0,0
2016,5.6500000000000000e+02,0,0
2016,2.2000000000000000e+02,0,0
2016,2.7800000000000000e+02,0,0
2016,1.0700000000000000e+02,583,5661
2016,7.1100000000000000e+02,0,0
2016,2.0400000000000000e+02,0,0
2016,5.7900000000000000e+02,0,0
2016,3.4800000000000000e+02,0,0
2016,7.6600000000000000e+02,0,0
2016,7.6100000000000000e+02,338,2134
2016,7.2800000000000000e+02,0,0
2016,2.8000000000000000e+02,0,0
2016,2.2200000000000000e+02,0,0
2016,2.7600000000000000e+02,0,0
2016,1.1000000000000000e+01,0,0
2016,3.0200000000000000e+02,0,0
2016,6.8200000000000000e+02,0,0
2016,2.7900000000000000e+02,0,0
2016,2.8200000000000000e+02,0,0
2016,2.8100000000000000e+02,284,6027
2016,1.8300000000000000e+02,0,0
2016,6.1000000000000000e+02,0,0
2016,1.1600000000000000e+02,0,0
2016,1.1500000000000000e+02,0,0
2016,1.1400000000000000e+02,0,0
2016,1.1900000000000000e+02,0,0
2016,7.7000000000000000e+02,804,11817
2016,5.8300000000000000e+02,203,446
2016,1.3600000000000000e+02,296,760
2016,4.6900000000000000e+02,43,1321
2016,6.4200000000000000e+02,400,4647
2016,6.7400000000000000e+02,139,461
2016,1.9300000000000000e+02,0,0
2016,5.2600000000000000e+02,0,0
2016,6.9800000000000000e+02,640,11038
2016,6.3000000000000000e+02,0,0
2016,1.2400000000000000e+02,0,0
2016,3.6400000000000000e+02,0,0
2016,4.3900000000000000e+02,0,0
2016,5.7000000000000000e+02,457,6507
2016,1.2300000000000000e+02,0,0
2016,3.1000000000000000e+02,318,3426
2016,5.7100000000000000e+02,0,0
2016,2.9600000000000000e+02,0,0
2016,5.6600000000000000e+02,225,1800
2016,7.8400000000000000e+02,868,12734
2016,1.0200000000000000e+02,0,0
2016,3.7900000000000000e+02,0,0
2016,6.3900000000000000e+02,452,3837
2016,4.5700000000000000e+02,134,134
2016,6.0900000000000000e+02,0,0
2016,1.0100000000000000e+02,0,0
2016,4.5400000000000000e+02,0,0
2016,3.1800000000000000e+02,0,0
2016,6.0000000000000000e+02,435,2518
2016,5.4500000000000000e+02,350,397
2016,1.0000000000000000e+02,0,0
2016,7.0200000000000000e+02,409,4982
2016,7.7800000000000000e+02,535,2445
2016,3.4100000000000000e+02,0,0
2016,9.9000000000000000e+01,938,6883
2016,7.6700000000000000e+02,600,4218
2016,3.5900000000000000e+02,0,0
2016,9.8000000000000000e+01,0,0
2016,1.3200000000000000e+02,0,0
2016,9.7000000000000000e+01,0,0
2016,1.0300000000000000e+02,0,0
2016,1.1000000000000000e+02,0,0
2016,9.4000000000000000e+01,0,0
2016,9.1000000000000000e+01,0,0
2016,6.6400000000000000e+02,410,5938
2016,9.1800000000000000e+02,912,12157
2016,9.2000000000000000e+01,0,0
2016,9.5000000000000000e+01,0,0
2016,3.0100000000000000e+02,0,0
2016,4.9200000000000000e+02,0,0
2016,8.1100000000000000e+02,0,0
2016,8.1200000000000000e+02,0,0
2016,8.3200000000000000e+02,0,0
2016,8.4100000000000000e+02,0,0
2016,8.5600000000000000e+02,0,0
2016,8.5900000000000000e+02,0,0
2016,8.6100000000000000e+02,0,0
2016,8.8000000000000000e+02,0,0
2016,8.8300000000000000e+02,0,0
2016,8.8400000000000000e+02,0,0
2016,8.7700000000000000e+02,0,0
2016,9.1100000000000000e+02,721,5124
2016,9.1300000000000000e+02,0,0
2016,9.2200000000000000e+02,0,0
2016,9.2300000000000000e+02,0,0
2016,9.2400000000000000e+02,0,0
2016,9.4700000000000000e+02,0,0
2016,9.5100000000000000e+02,0,0
2016,1.1030000000000000e+03,0,0
2016,9.7200000000000000e+02,0,0
2016,9.7300000000000000e+02,0,0
2016,9.7400000000000000e+02,0,0
2016,9.7500000000000000e+02,0,0
2016,9.6000000000000000e+02,142,827
2016,1.0280000000000000e+03,0,0
2016,9.7600000000000000e+02,202,248
2016,9.7700000000000000e+02,0,0
2016,1.0200000000000000e+03,0,0
2016,9.9400000000000000e+02,0,0
2016,9.9500000000000000e+02,0,0
2016,1.0600000000000000e+03,0,0
2016,1.0050000000000000e+03,0,0
2016,1.0610000000000000e+03,0,0
2016,1.0060000000000000e+03,0,0
2016,1.0880000000000000e+03,0,0
2016,1.0890000000000000e+03,0,0
2016,1.0760000000000000e+03,0,0
2016,1.0780000000000000e+03,0,0
2016,1.0330000000000000e+03,610,6395
2016,1.0370000000000000e+03,0,0
2016,1.0390000000000000e+03,0,0
2016,1.0670000000000000e+03,0,0
2016,1.0650000000000000e+03,0,0
