año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2016,1.1300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3402,0,0,0,0,0,0
2016,6.1900000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.6300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.3100000000000000e+02,0,0,0,0,0,0,0,0,0,0,54,540,0,0,0,0,0,0,0,0,0,0
2016,3.7500000000000000e+02,0,0,0,0,0,0,0,0,0,0,1195,15272,0,0,0,0,0,0,0,0,0,0
2016,1.0900000000000000e+03,816,2453,363,489,799,13962,0,0,0,0,15658,328816,0,0,0,0,181,16247,0,0,0,0
2016,7.6400000000000000e+02,1669,2090,390,500,832,17606,0,0,59,221,10763,91758,2642,5746,2094,16231,86,12830,1,209,50,16449
2016,1.4000000000000000e+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.5700000000000000e+02,0,405,0,0,0,0,0,0,0,0,3083,26530,0,0,0,0,0,0,0,0,0,0
2016,3.6200000000000000e+02,55,13,0,0,0,0,0,0,0,0,1762,15858,0,0,0,0,0,0,0,0,0,0
2016,9.8900000000000000e+02,0,0,0,0,0,0,0,0,0,0,2547,18637,485,2005,120,1655,0,0,0,0,0,0
2016,9.9000000000000000e+02,0,0,0,0,0,0,0,0,0,0,2324,19925,475,1205,278,2684,0,0,0,0,0,0
2016,6.8000000000000000e+02,2531,4480,193,330,0,0,0,0,0,0,5741,263102,0,0,0,0,668,14052,0,0,31,11193
2016,4.1100000000000000e+02,11060,447,0,0,0,0,0,0,0,0,1069,21749,0,0,0,0,77,11631,0,0,0,0
2016,2.4100000000000000e+02,187,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,26891,0,0,0,0
2016,5.5800000000000000e+02,0,2021,0,0,0,0,0,0,0,0,1444,26006,0,0,0,0,76,12696,0,0,12,4380
2016,1.6700000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2.4800000000000000e+02,271,235,0,0,374,428,0,0,89,212,1282,16836,0,0,0,0,424,15780,0,0,0,0
2016,2.2400000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.9100000000000000e+02,624,5648,174,174,0,0,0,0,0,0,14481,355041,0,0,186,2060,192,8196,0,0,38,9732
2016,5.8600000000000000e+02,0,1581,0,0,0,0,0,0,0,0,13902,437989,0,0,0,0,1301,13960,0,0,10,18940
2016,4.5300000000000000e+02,0,0,0,0,0,0,0,0,0,0,2086,98927,500,1674,1147,3824,0,0,0,0,0,0
2016,1.4500000000000000e+02,0,0,0,0,0,0,0,0,0,0,8,2426,0,0,0,0,0,0,0,0,0,0
2016,5.1100000000000000e+02,0,558,0,0,0,0,0,0,0,0,5801,104423,0,0,0,0,436,4625,0,0,60,60
2016,5.3000000000000000e+02,0,0,0,0,0,0,0,0,0,0,7122,276647,0,0,0,0,0,0,0,0,0,0
2016,6.0000000000000000e+00,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.6100000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1200,0,0,0,0,0,0
