,cod_ccaa,des_ccaa_x,des_ccaa_y,pob_ccaa
0,1,ANDALUCÍA,Andalucía,8379820
1,2,ARAGÓN,Aragón,1308750
2,3,ASTURIAS,"Asturias, Principado de",1034960
3,4,ILLES BALEARS,"Balears, Illes",1115999
4,5,CANARIAS,Canarias,2108121
5,6,CANTABRIA,Cantabria,580295
6,7,CASTILLA Y LEÓN,Castilla y León,2425801
7,8,CASTILLA-LA MANCHA,Castilla - La Mancha,2031479
8,9,CATALUÑA,Cataluña,7555830
9,10,COMUNIDAD VALENCIANA,Comunitat Valenciana,4941509
10,11,EXTREMADURA,Extremadura,1079920
11,12,GALICIA,Galicia,2708339
12,13,MADRID,"Madrid, Comunidad de",6507184
13,14,REGIÓN DE MURCIA,"Murcia, Región de",1470273
14,15,C. FORAL DE NAVARRA,"Navarra, Comunidad Foral de",643234
15,16,PAÍS VASCO,País Vasco,2194158
16,21,LA RIOJA-CEUTA-MELILLA,"Rioja, La-Ceuta-Melilla",486460
17,17,,"Rioja, La",315381
18,18,,Ceuta,84959
19,19,,Melilla,86120
