año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,1.1300000000000000e+02,48668,1315,0,1315,0,49983
2017,6.1900000000000000e+02,53771,508601,54458,454143,0,562372
2017,1.6300000000000000e+02,3305,183967,0,183967,0,187272
2017,1.3100000000000000e+02,0,0,0,0,0,0
2017,3.7500000000000000e+02,14809,485,0,485,0,15294
2017,1.0900000000000000e+03,392730,8331123,0,8331123,0,8723853
2017,7.6400000000000000e+02,0,1089351,0,1089351,0,1089351
2017,1.4000000000000000e+01,13351,320956,119216,201740,0,334307
2017,6.5700000000000000e+02,0,381395,0,381395,0,381395
2017,3.6200000000000000e+02,50822,678432,29986,648446,0,729254
2017,9.8900000000000000e+02,0,174195,0,174195,0,174195
2017,9.9000000000000000e+02,0,137238,0,137238,0,137238
2017,6.8000000000000000e+02,0,4679238,0,4679238,0,4679238
2017,4.1100000000000000e+02,1893,1892235,49246,1842989,0,1894128
2017,2.4100000000000000e+02,40481,0,0,0,1008186,1048667
2017,5.5800000000000000e+02,0,2692952,0,2692952,0,2692952
2017,1.6700000000000000e+02,0,0,0,0,0,0
2017,2.4800000000000000e+02,4612000,40482191,1830750,38651441,396469,45490660
2017,2.2400000000000000e+02,2020,554479,0,554479,0,556499
2017,5.9100000000000000e+02,234561,2843644,0,2843644,0,3078205
2017,5.8600000000000000e+02,0,3073908,0,3073908,0,3073908
2017,4.5300000000000000e+02,0,89965,55994,33971,0,89965
2017,1.4500000000000000e+02,0,0,0,0,0,0
2017,5.1100000000000000e+02,0,0,0,0,1443015,1443015
2017,5.3000000000000000e+02,0,1427869,1427869,0,0,1427869
2017,6.0000000000000000e+00,110591,1394907,0,1394907,65716,1571214
2017,1.6100000000000000e+02,0,43192,0,43192,0,43192
2017,6.2300000000000000e+02,0,3686790,0,3686790,0,3686790
2017,3.4900000000000000e+02,0,21291,0,21291,0,21291
2017,8.7500000000000000e+02,0,802006,0,802006,0,802006
2017,9.4600000000000000e+02,83302,0,0,0,0,83302
2017,1.0230000000000000e+03,620312,1555955,0,1555955,0,2176267
2017,1.0540000000000000e+03,0,0,0,0,0,0
2017,1.0570000000000000e+03,0,229900,0,229900,0,229900
2017,1.0310000000000000e+03,0,15342,0,15342,0,15342
2017,1.0320000000000000e+03,353484,853269,0,853269,0,1206753
2017,1.0640000000000000e+03,72000,60548,0,60548,0,132548
2017,2.2600000000000000e+02,0,230542,0,230542,0,230542
2017,6.8700000000000000e+02,0,98521,0,98521,0,98521
2017,7.4500000000000000e+02,0,8550090,0,8550090,0,8550090
2017,1.0900000000000000e+02,0,538132,0,538132,0,538132
2017,8.0800000000000000e+02,65632,1498716,0,1498716,0,1564348
2017,9.7100000000000000e+02,0,486385,0,486385,0,486385
2017,1.2800000000000000e+02,0,371385,0,371385,0,371385
2017,9.1900000000000000e+02,17068,2532507,310511,2221996,0,2549575
2017,7.2500000000000000e+02,0,1110822,0,1110822,0,1110822
2017,3.0000000000000000e+00,0,93491,0,93491,0,93491
2017,3.0600000000000000e+02,2000,50000,0,50000,0,52000
2017,1.5000000000000000e+01,0,110030,56004,54026,1269,111299
2017,2.6400000000000000e+02,0,799707,0,799707,0,799707
2017,8.6700000000000000e+02,0,0,0,0,0,0
2017,9.1000000000000000e+02,0,434982,0,434982,0,434982
2017,1.0530000000000000e+03,0,447668,0,447668,0,447668
2017,1.0550000000000000e+03,0,522431,0,522431,153622,676053
2017,1.0810000000000000e+03,0,47074,0,47074,0,47074
2017,1.0990000000000000e+03,0,0,0,0,0,0
2017,1.1150000000000000e+03,0,0,0,0,0,0
2017,5.2900000000000000e+02,0,0,0,0,248578,248578
2017,3.4500000000000000e+02,0,0,0,0,81089,81089
