Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
01 Andalucía;Total;2017;8.379.820
02 Aragón;Total;2017;1.308.750
03 Asturias, Principado de;Total;2017;1.034.960
04 Balears, Illes;Total;2017;1.115.999
05 Canarias;Total;2017;2.108.121
06 Cantabria;Total;2017;580.295
07 Castilla y León;Total;2017;2.425.801
08 Castilla - La Mancha;Total;2017;2.031.479
09 Cataluña;Total;2017;7.555.830
10 Comunitat Valenciana;Total;2017;4.941.509
11 Extremadura;Total;2017;1.079.920
12 Galicia;Total;2017;2.708.339
13 Madrid, Comunidad de;Total;2017;6.507.184
14 Murcia, Región de;Total;2017;1.470.273
15 Navarra, Comunidad Foral de;Total;2017;643.234
16 País Vasco;Total;2017;2.194.158
17 Rioja, La;Total;2017;315.381
18 Ceuta;Total;2017;84.959
19 Melilla;Total;2017;86.120
