Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
01 Andalucía;Total;2016;8.388.107
02 Aragón;Total;2016;1.308.563
03 Asturias, Principado de;Total;2016;1.042.608
04 Balears, Illes;Total;2016;1.107.220
05 Canarias;Total;2016;2.101.924
06 Cantabria;Total;2016;582.206
07 Castilla y León;Total;2016;2.447.519
08 Castilla - La Mancha;Total;2016;2.041.631
09 Cataluña;Total;2016;7.522.596
10 Comunitat Valenciana;Total;2016;4.959.968
11 Extremadura;Total;2016;1.087.778
12 Galicia;Total;2016;2.718.525
13 Madrid, Comunidad de;Total;2016;6.466.996
14 Murcia, Región de;Total;2016;1.464.847
15 Navarra, Comunidad Foral de;Total;2016;640.647
16 País Vasco;Total;2016;2.189.534
17 Rioja, La;Total;2016;315.794
18 Ceuta;Total;2016;84.519
19 Melilla;Total;2016;86.026
