año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,1.0570000000000000e+03,106,0,0,0,0,76,0,0,0,0,4,0,0,0,0,0,0,0
2016,1.0310000000000000e+03,40,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
2016,1.0320000000000000e+03,230,8,8,12,1,196,8,8,12,1,4,0,25,0,0,31,0,0
2016,1.0640000000000000e+03,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2016,2.2600000000000000e+02,82,2,1,5,1,82,2,1,5,1,2,0,0,0,0,5,0,5
2016,6.8700000000000000e+02,197,8,2,7,0,163,6,2,7,0,7,0,12,20,0,0,12,1
2016,7.4500000000000000e+02,747,34,3,16,2,738,34,3,16,2,22,10,71,42,0,0,22,2
2016,1.0900000000000000e+02,86,3,2,11,1,64,3,2,6,1,4,0,0,0,0,0,0,0
2016,8.0800000000000000e+02,309,8,8,9,0,282,6,8,9,0,5,0,6,22,0,16,0,0
2016,9.7100000000000000e+02,11,0,0,6,0,5,0,0,2,0,2,0,2,0,0,12,0,0
2016,1.2800000000000000e+02,33,1,1,3,0,33,0,0,3,0,1,0,3,0,0,2,2,1
2016,9.1900000000000000e+02,430,8,2,8,0,380,8,2,8,0,5,3,24,8,0,0,0,0
2016,7.2500000000000000e+02,913,28,3,32,2,815,28,3,32,2,16,0,91,0,0,0,20,3
2016,3.0000000000000000e+00,101,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
2016,3.0600000000000000e+02,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.5000000000000000e+01,29,0,0,3,0,17,0,0,2,0,1,0,1,0,0,0,0,0
2016,2.6400000000000000e+02,77,3,0,4,0,77,3,1,4,0,2,0,0,0,0,0,0,0
2016,8.6700000000000000e+02,9,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0
2016,9.1000000000000000e+02,227,2,1,11,0,185,2,1,11,0,8,0,16,0,0,1,10,1
2016,1.0530000000000000e+03,327,7,2,8,0,293,7,2,8,0,6,1,10,0,0,0,14,3
2016,1.0550000000000000e+03,381,8,3,15,1,372,8,3,14,1,18,0,30,0,0,0,39,6
2016,1.0810000000000000e+03,100,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0990000000000000e+03,20,0,2,5,0,20,0,0,3,0,1,0,1,0,0,0,0,0
2016,5.2900000000000000e+02,100,0,0,0,0,95,0,0,0,0,1,0,0,0,0,0,0,0
2016,3.4500000000000000e+02,170,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.1500000000000000e+02,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
2016,1.7400000000000000e+02,65,0,0,3,0,49,0,0,2,0,0,0,0,0,0,0,0,3
2016,5.2300000000000000e+02,184,0,0,3,0,184,0,0,3,0,2,0,0,0,25,5,0,0
2016,6.9700000000000000e+02,193,9,3,6,1,193,9,3,6,1,5,0,1,1,1,1,1,1
2016,2.3900000000000000e+02,196,0,0,5,1,82,0,0,4,1,3,0,10,0,0,5,0,0
2016,2.8700000000000000e+02,287,4,3,11,1,197,3,3,11,1,6,0,0,0,16,0,0,0
2016,3.7700000000000000e+02,106,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0
2016,1.1300000000000000e+02,205,0,0,0,0,203,0,0,0,0,0,0,0,1,0,0,0,0
2016,6.1900000000000000e+02,75,1,2,6,1,75,1,2,6,1,3,0,4,0,0,4,0,1
2016,1.6300000000000000e+02,20,0,0,4,0,20,0,0,4,0,5,0,0,0,0,0,9,4
2016,1.3100000000000000e+02,82,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2016,3.7500000000000000e+02,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2016,1.0900000000000000e+03,811,23,3,23,2,725,21,3,22,2,10,6,86,4,0,60,0,2
2016,7.6400000000000000e+02,736,13,2,16,1,639,13,2,16,1,17,0,16,56,8,32,0,0
2016,1.4000000000000000e+01,42,3,1,3,0,42,3,1,3,0,1,0,1,0,0,0,0,0
2016,6.5700000000000000e+02,135,3,1,5,0,93,1,1,4,0,3,0,1,0,0,1,0,0
2016,3.6200000000000000e+02,65,2,1,3,1,65,2,1,3,1,7,0,0,0,0,8,0,0
2016,9.8900000000000000e+02,93,2,1,4,0,57,1,1,4,0,5,0,6,0,0,0,0,0
2016,9.9000000000000000e+02,114,1,1,4,0,89,1,1,4,0,2,0,13,0,0,0,8,0
2016,6.8000000000000000e+02,797,24,3,28,2,715,24,3,27,2,12,3,36,0,0,3,0,0
2016,4.1100000000000000e+02,106,4,1,9,2,106,4,1,9,2,3,0,6,0,0,0,0,0
2016,2.4100000000000000e+02,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2016,5.5800000000000000e+02,287,4,3,7,0,226,4,3,7,0,9,1,20,0,0,1,11,1
2016,1.6700000000000000e+02,26,2,1,2,0,16,1,1,2,0,1,0,0,0,0,0,0,0
2016,2.4800000000000000e+02,175,1,0,4,1,163,0,0,4,1,2,0,10,0,0,0,0,0
2016,2.2400000000000000e+02,23,1,1,2,0,23,1,1,2,0,2,0,0,0,0,0,0,1
2016,5.9100000000000000e+02,410,15,2,15,1,393,15,2,15,1,10,0,57,2,0,0,,4
2016,5.8600000000000000e+02,367,14,2,12,0,367,14,2,12,0,4,4,29,12,0,0,0,0
2016,4.5300000000000000e+02,179,0,0,0,0,110,0,0,0,0,1,0,1,0,0,0,0,0
2016,1.4500000000000000e+02,96,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.1100000000000000e+02,270,11,2,9,0,270,11,2,9,0,6,3,10,0,0,0,14,0
2016,5.3000000000000000e+02,336,8,2,9,0,323,8,2,9,0,6,3,25,0,0,0,2,2
2016,6.0000000000000000e+00,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,10,0,0
2016,1.6100000000000000e+02,432,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2300000000000000e+02,390,14,2,10,2,361,14,2,10,2,8,2,18,0,0,0,0,0
2016,8.7500000000000000e+02,109,0,0,7,1,84,0,0,7,1,2,0,6,0,0,2,0,0
2016,9.4600000000000000e+02,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2016,1.0230000000000000e+03,277,6,5,11,1,238,6,5,11,1,3,0,38,0,0,29,0,0
2016,1.0540000000000000e+03,267,12,2,15,1,211,6,2,13,1,6,0,16,0,0,0,24,2
2016,6.9200000000000000e+02,271,10,5,8,0,262,9,5,8,0,3,0,28,25,0,0,0,0
2016,3.3500000000000000e+02,160,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0
2016,4.3500000000000000e+02,70,1,1,4,1,70,1,1,4,1,2,0,0,0,0,0,0,0
2016,4.2300000000000000e+02,31,3,1,2,0,31,3,1,2,0,2,0,,0,0,2,3,2
2016,3.5100000000000000e+02,85,0,0,3,0,52,0,0,3,0,2,0,3,0,0,3,2,1
2016,8.1000000000000000e+02,9,0,1,1,0,9,0,1,1,0,1,0,0,0,0,1,1,1
2016,8.3000000000000000e+02,224,6,2,8,0,224,6,2,8,0,3,0,7,0,0,10,0,2
2016,8.9200000000000000e+02,419,19,6,13,0,366,10,6,12,0,5,0,30,24,0,0,31,0
2016,9.2100000000000000e+02,170,4,4,9,1,170,4,4,9,1,2,0,1,0,0,6,6,0
2016,9.9100000000000000e+02,12,1,1,1,0,12,1,1,1,0,1,0,0,0,0,0,0,0
2016,9.9200000000000000e+02,165,6,1,6,0,165,2,1,6,0,4,0,7,15,0,8,12,1
2016,9.9300000000000000e+02,142,5,3,5,0,110,5,3,5,0,2,1,29,16,0,0,6,1
2016,1.0700000000000000e+03,824,30,6,27,3,735,30,6,25,3,8,0,31,40,0,0,20,4
2016,1.0950000000000000e+03,70,0,0,2,0,38,0,0,2,0,1,0,0,0,0,0,0,0
2016,1.0940000000000000e+03,34,0,0,4,0,34,0,0,4,0,1,0,1,0,0,0,4,4
2016,4.7300000000000000e+02,64,27,7,6,0,64,27,7,6,0,2,0,1,0,0,0,0,4
2016,6.6300000000000000e+02,406,9,2,11,1,393,9,2,11,1,4,2,53,13,0,7,0,0
2016,5.5200000000000000e+02,90,0,0,6,0,79,0,0,6,0,4,0,16,0,0,14,0,0
2016,7.7200000000000000e+02,628,0,0,25,2,628,0,0,25,2,8,0,70,56,50,0,0,6
2016,5.6800000000000000e+02,62,0,0,4,0,62,0,0,4,0,2,0,0,0,0,0,6,0
2016,3.9800000000000000e+02,132,0,0,5,0,100,0,0,5,0,2,0,0,0,0,0,0,0
2016,3.9400000000000000e+02,55,0,0,2,0,55,0,0,2,0,2,0,0,0,0,0,0,0
2016,6.1400000000000000e+02,22,0,0,2,0,22,0,0,2,0,0,0,0,0,0,0,7,0
2016,2.3500000000000000e+02,33,0,0,4,0,14,0,0,3,0,2,0,0,0,0,0,0,0
2016,6.1600000000000000e+02,90,0,0,6,0,57,0,0,6,0,0,0,20,0,0,0,15,0
2016,2.6700000000000000e+02,181,4,2,9,1,163,4,2,9,1,2,0,4,0,0,0,0,0
2016,5.6500000000000000e+02,200,0,0,5,0,178,0,0,5,0,1,0,8,0,0,0,22,0
2016,2.2000000000000000e+02,138,3,3,9,0,138,3,3,9,0,3,0,17,0,0,0,0,0
2016,2.7800000000000000e+02,154,6,3,8,0,154,6,3,8,0,0,0,0,0,0,0,0,0
2016,1.0700000000000000e+02,112,0,0,0,0,112,0,0,0,0,0,0,0,15,55,0,0,0
2016,7.1100000000000000e+02,623,17,3,22,3,549,17,3,22,3,7,0,93,42,0,22,0,0
2016,2.0400000000000000e+02,116,0,0,0,0,116,0,0,0,0,1,0,0,0,22,0,0,0
2016,5.7900000000000000e+02,31,0,0,2,0,31,0,0,2,0,4,0,0,0,0,0,0,0
2016,3.4800000000000000e+02,152,0,0,2,0,139,0,0,2,0,1,0,70,0,0,0,0,0
2016,7.6600000000000000e+02,116,0,0,8,0,111,0,0,8,0,5,0,8,0,0,0,0,0
2016,7.6100000000000000e+02,317,0,0,0,0,317,0,0,0,0,0,0,0,25,60,0,0,0
2016,7.2800000000000000e+02,336,0,0,19,0,291,0,0,19,0,7,0,11,0,0,0,17,4
2016,2.8000000000000000e+02,144,12,4,10,1,144,12,4,10,1,5,0,10,0,0,0,12,3
2016,2.2200000000000000e+02,44,0,0,6,0,44,0,0,6,0,2,0,1,0,0,0,0,0
2016,2.7600000000000000e+02,202,10,3,14,1,202,10,3,14,1,8,0,16,0,0,18,0,0
2016,1.1000000000000000e+01,201,0,2,8,1,170,0,2,8,1,4,0,9,0,0,0,2,0
2016,3.0200000000000000e+02,60,2,1,3,0,60,2,1,3,0,0,0,0,0,0,1,1,1
2016,6.8200000000000000e+02,161,0,0,8,0,161,0,0,8,0,1,0,11,0,0,0,0,0
