año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2016,6.2300000000000000e+02,365,13,0,12,0,0,0,312,85,397,0,298,12,0,7,0,0,0,290,68,358,0,8,1,0,0,0,0,0,1,1,2,0,7,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,4,144,143,8,6,0,117,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.7500000000000000e+02,61,0,0,8,0,0,0,69,26,95,0,54,0,0,5,0,0,0,67,15,82,0,14,0,0,2,1,0,0,11,3,14,0,12,0,0,2,0,0,0,10,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,54,27,6,0,0,43,18,1,0,0,18,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2016,9.4600000000000000e+02,47,4,0,6,0,0,5,74,5,79,8,39,3,0,5,0,0,5,55,3,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,26,47,3,1,0,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0230000000000000e+03,244,10,0,9,0,1,0,175,22,197,0,188,8,0,6,0,1,0,147,17,164,0,49,3,0,0,0,0,0,20,19,39,0,40,2,0,0,0,0,0,19,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,51,0,0,0,54,14,15,0,0,48,1,5,0,0,31,1,0,0,0,0,0,0,0,0,0,0
2016,1.0540000000000000e+03,197,6,0,6,0,1,2,50,21,71,129,168,5,0,2,0,1,2,7,13,20,104,77,5,0,1,0,0,0,2,10,12,17,67,5,0,0,0,0,0,1,9,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,27,73,7,8,1,11,58,3,0,0,1,11,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2016,1.0570000000000000e+03,69,0,0,5,2,1,0,63,8,71,0,50,0,0,3,2,1,0,62,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,28,25,30,1,2,9,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0310000000000000e+03,2,0,0,1,1,0,0,3,0,3,0,2,0,0,0,1,0,0,3,0,3,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0320000000000000e+03,207,7,2,6,0,1,0,150,36,186,0,170,7,1,5,0,1,0,136,24,160,0,47,7,0,1,0,0,0,20,16,36,0,36,5,0,1,0,0,0,18,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59,45,0,1,0,41,4,17,0,0,46,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2016,1.0640000000000000e+03,50,6,0,4,0,0,0,35,13,48,1,39,5,0,2,0,0,0,32,7,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,4,0,22,14,4,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2.2600000000000000e+02,48,0,0,1,0,0,3,58,19,77,0,40,0,0,1,0,0,2,44,13,57,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,19,5,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,11,0,10,18,44,4,0,5,18,31,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
