año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2016,1.1300000000000000e+02,0,0,0,0,0
2016,6.1900000000000000e+02,17378,1076,24,0,18478
2016,1.6300000000000000e+02,4226,97,8,0,4331
2016,1.3100000000000000e+02,0,0,0,0,0
2016,3.7500000000000000e+02,366,0,98,0,464
2016,1.0900000000000000e+03,145846,20921,1983,41,168791
2016,7.6400000000000000e+02,134451,17019,583,114,152167
2016,1.4000000000000000e+01,20023,574,491,2,21090
2016,6.5700000000000000e+02,32056,3376,369,0,35801
2016,3.6200000000000000e+02,20549,1233,210,1,21993
2016,9.8900000000000000e+02,23315,2463,463,23,26264
2016,9.9000000000000000e+02,30420,3580,607,23,34630
2016,6.8000000000000000e+02,126367,31634,1841,77,159919
2016,4.1100000000000000e+02,40595,2566,64,9,43234
2016,2.4100000000000000e+02,30026,2352,22,1,32401
2016,5.5800000000000000e+02,40108,7782,311,46,48247
2016,1.6700000000000000e+02,3355,58,103,0,3516
2016,2.4800000000000000e+02,10614,2816,176,1,13607
2016,2.2400000000000000e+02,22573,1023,42,2,23640
2016,5.9100000000000000e+02,71520,11860,595,77,84052
2016,5.8600000000000000e+02,76447,13636,1140,80,91303
2016,4.5300000000000000e+02,924,47,36,0,1007
2016,1.4500000000000000e+02,0,0,0,0,0
2016,5.1100000000000000e+02,68152,11868,678,73,80771
2016,5.3000000000000000e+02,61332,12001,415,50,73798
2016,6.0000000000000000e+00,25817,1125,20,0,26962
2016,1.6100000000000000e+02,0,0,0,0,0
2016,6.2300000000000000e+02,76313,12448,670,66,89497
2016,8.7500000000000000e+02,29240,3325,25,0,32590
2016,9.4600000000000000e+02,31968,5904,152,6,38030
2016,1.0230000000000000e+03,66977,12534,201,99,79811
2016,1.0540000000000000e+03,47808,8826,275,77,56986
2016,1.0570000000000000e+03,0,0,0,0,0
2016,1.0310000000000000e+03,0,0,0,0,0
2016,1.0320000000000000e+03,79218,9602,262,54,89136
2016,1.0640000000000000e+03,34040,2455,239,1,36735
2016,2.2600000000000000e+02,41783,2213,57,0,44053
2016,6.8700000000000000e+02,55378,5744,731,94,61947
2016,7.4500000000000000e+02,139347,16097,997,95,156536
2016,1.0900000000000000e+02,37305,3011,20,0,40336
2016,8.0800000000000000e+02,127638,10600,999,98,139335
2016,9.7100000000000000e+02,67930,495,2698,8,71131
2016,1.2800000000000000e+02,10407,530,0,0,10937
2016,9.1900000000000000e+02,32831,9820,300,47,42998
2016,7.2500000000000000e+02,129562,19658,0,61,149281
2016,3.0000000000000000e+00,0,0,0,0,0
2016,3.0600000000000000e+02,0,0,0,0,0
2016,1.5000000000000000e+01,7784,6,6,0,7796
2016,2.6400000000000000e+02,31455,2311,103,3,33872
2016,8.6700000000000000e+02,6703,0,0,0,6703
2016,9.1000000000000000e+02,34589,6441,630,57,41717
2016,1.0530000000000000e+03,54901,10321,993,86,66301
2016,1.0550000000000000e+03,63835,11485,1501,82,76903
2016,1.0810000000000000e+03,0,0,0,0,0
2016,1.0990000000000000e+03,2613,30,0,0,2643
2016,5.2900000000000000e+02,0,0,0,0,0
2016,3.4500000000000000e+02,0,0,0,0,0
2016,5.1500000000000000e+02,13643,581,0,0,14224
2016,1.7400000000000000e+02,0,0,0,0,0
2016,5.2300000000000000e+02,0,0,0,0,0
2016,6.9700000000000000e+02,82514,7596,366,5,90481
2016,2.3900000000000000e+02,37346,5079,230,2,42657
2016,2.8700000000000000e+02,58083,5585,91,178,63937
2016,3.7700000000000000e+02,0,0,0,0,0
2016,6.9200000000000000e+02,49096,6969,96,41,56202
2016,3.3500000000000000e+02,0,0,0,0,0
2016,4.3500000000000000e+02,23352,1540,71,3,24966
2016,4.2300000000000000e+02,9529,1588,0,0,11117
2016,3.5100000000000000e+02,17679,3331,207,11,21228
2016,8.1000000000000000e+02,8446,1162,0,0,9608
2016,8.3000000000000000e+02,61335,9319,529,25,71208
2016,8.9200000000000000e+02,92052,12548,572,98,105270
2016,9.2100000000000000e+02,89336,7233,141,6,96716
2016,9.9100000000000000e+02,17692,329,184,4,18209
2016,9.9200000000000000e+02,54870,5851,568,86,61375
