año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2016,1.1300000000000000e+02,43821,10418,0,10418,0,54239
2016,6.1900000000000000e+02,13720,814748,28275,786473,0,828468
2016,1.6300000000000000e+02,3025,253276,0,253276,0,256301
2016,1.3100000000000000e+02,0,0,0,0,0,0
2016,3.7500000000000000e+02,13252,0,0,0,0,13252
2016,1.0900000000000000e+03,341197,11990308,0,11990308,0,12331505
2016,7.6400000000000000e+02,0,1059091,0,1059091,0,1059091
2016,1.4000000000000000e+01,3755,412245,0,412245,0,416000
2016,6.5700000000000000e+02,0,346264,0,346264,0,346264
2016,3.6200000000000000e+02,3817,283170,0,283170,0,286987
2016,9.8900000000000000e+02,0,85922,0,85922,0,85922
2016,9.9000000000000000e+02,0,227683,0,227683,0,227683
2016,6.8000000000000000e+02,0,3252103,0,3252103,0,3252103
2016,4.1100000000000000e+02,24956,998231,998231,0,0,1023187
2016,2.4100000000000000e+02,110591,1394907,0,1394907,65716,1571214
2016,5.5800000000000000e+02,0,881980,0,881980,0,881980
2016,1.6700000000000000e+02,0,0,0,0,0,0
2016,2.4800000000000000e+02,200421,3398829,1360779,2038050,2315216,5914466
2016,2.2400000000000000e+02,0,146966,0,146966,0,146966
2016,5.9100000000000000e+02,394380,2089399,0,2089399,0,2483779
2016,5.8600000000000000e+02,0,186395028,0,186395028,0,186395028
2016,4.5300000000000000e+02,0,180489,47407,133082,0,180489
2016,1.4500000000000000e+02,0,0,0,0,0,0
2016,5.1100000000000000e+02,0,0,0,0,159754,159754
2016,5.3000000000000000e+02,0,1078572,0,1078572,0,1078572
2016,6.0000000000000000e+00,110591,1394907,0,1394907,65716,1571214
2016,1.6100000000000000e+02,0,0,0,0,0,0
2016,6.2300000000000000e+02,0,2414500,0,2414500,0,2414500
2016,8.7500000000000000e+02,0,278804,0,278804,0,278804
2016,9.4600000000000000e+02,134075,374221,0,374221,0,508296
