año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,9.0000000000000000e+02,0,0,0,0,0
2017,9.3200000000000000e+02,0,0,0,0,0
2017,9.5000000000000000e+02,0,0,0,0,0
2017,9.6600000000000000e+02,174,122,313,13,0
2017,9.6700000000000000e+02,0,0,0,0,0
2017,9.8200000000000000e+02,0,0,0,0,0
2017,1.0140000000000000e+03,0,0,0,0,0
2017,1.0800000000000000e+03,975,313,1313,115,0
2017,1.0740000000000000e+03,0,0,0,0,0
2017,1.0840000000000000e+03,0,0,0,0,0
2017,1.1130000000000000e+03,21,26,49,0,0
2017,1.1370000000000000e+03,0,0,0,0,0
2017,1.1420000000000000e+03,459,163,614,39,0
2017,7.2200000000000000e+02,5604,1602,7327,697,0
2017,6.6000000000000000e+02,0,0,0,0,0
2017,7.5000000000000000e+01,0,0,0,0,0
2017,2.4900000000000000e+02,362,322,702,34,0
2017,2.2700000000000000e+02,401,346,760,21,0
2017,1.5000000000000000e+02,0,0,0,0,0
2017,4.7000000000000000e+01,0,0,0,0,0
2017,1.7200000000000000e+02,0,0,0,0,0
2017,5.8100000000000000e+02,389,141,532,39,0
2017,1.2000000000000000e+02,0,0,0,0,0
2017,4.4500000000000000e+02,0,0,0,0,0
2017,4.7100000000000000e+02,0,0,0,0,0
2017,5.3000000000000000e+01,0,0,0,0,0
2017,1.9900000000000000e+02,0,0,0,0,0
2017,5.7500000000000000e+02,899,256,1145,46,0
2017,5.2800000000000000e+02,388,132,523,39,0
2017,6.3100000000000000e+02,1162,409,1553,98,
2017,6.9900000000000000e+02,0,0,0,0,0
2017,8.2300000000000000e+02,0,0,0,0,0
2017,8.4900000000000000e+02,0,0,0,0,0
2017,8.6900000000000000e+02,0,0,0,0,0
2017,9.5500000000000000e+02,0,0,0,0,0
2017,9.8300000000000000e+02,0,0,0,0,0
2017,1.0020000000000000e+03,0,0,0,0,0
2017,1.0150000000000000e+03,2053,613,2664,232,0
2017,5.1000000000000000e+01,0,0,0,0,0
2017,4.4100000000000000e+02,0,0,0,0,0
2017,3.2700000000000000e+02,0,0,0,0,0
2017,6.9000000000000000e+02,203,69,278,10,0
2017,2.6200000000000000e+02,126,38,164,6,0
2017,4.0300000000000000e+02,0,0,0,0,0
2017,3.1200000000000000e+02,0,0,0,0,0
2017,5.8900000000000000e+02,319,90,417,17,0
2017,6.6500000000000000e+02,708,170,886,0,0
2017,3.3400000000000000e+02,0,0,0,0,0
