año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2017,1.1300000000000000e+02,0,0,307,4312,0,0
2017,6.1900000000000000e+02,393,506,0,0,0,0
2017,1.6300000000000000e+02,0,0,0,0,0,0
2017,1.3100000000000000e+02,0,0,0,0,0,0
2017,3.7500000000000000e+02,0,0,0,0,0,0
2017,1.0900000000000000e+03,13908,52983,0,0,0,0
2017,7.6400000000000000e+02,1822,12407,269,16197,56,183
2017,1.4000000000000000e+01,270,400,0,0,0,0
2017,6.5700000000000000e+02,2371,3275,0,0,0,0
2017,3.6200000000000000e+02,0,0,0,0,0,0
2017,9.8900000000000000e+02,309,2244,0,0,0,0
2017,9.9000000000000000e+02,470,2566,0,0,0,0
2017,6.8000000000000000e+02,37733,62230,0,0,0,0
2017,4.1100000000000000e+02,280,2158,0,0,0,0
2017,2.4100000000000000e+02,147,596,0,0,0,0
2017,5.5800000000000000e+02,6034,67223,0,0,0,0
2017,1.6700000000000000e+02,0,0,0,0,0,0
2017,2.4800000000000000e+02,498,1233,0,0,0,0
2017,2.2400000000000000e+02,0,0,0,0,0,0
2017,5.9100000000000000e+02,6243,56188,61,2356,0,0
2017,5.8600000000000000e+02,21180,57218,1063,2211,0,0
2017,4.5300000000000000e+02,448,2588,0,0,0,0
2017,1.4500000000000000e+02,0,0,0,0,0,0
2017,5.1100000000000000e+02,18990,20765,0,0,0,0
2017,5.3000000000000000e+02,4256,33987,0,0,0,0
2017,6.0000000000000000e+00,0,0,0,0,0,0
2017,1.6100000000000000e+02,0,0,0,0,0,0
2017,6.2300000000000000e+02,2567,12059,0,0,0,0
2017,3.4900000000000000e+02,0,0,0,0,0,0
2017,8.7500000000000000e+02,105,594,0,0,0,0
2017,9.4600000000000000e+02,0,0,0,0,0,0
2017,1.0230000000000000e+03,5887,37783,0,0,0,0
2017,1.0540000000000000e+03,1505,8612,0,0,0,0
2017,1.0570000000000000e+03,0,0,0,0,0,0
2017,1.0310000000000000e+03,105,6809,0,0,0,0
2017,1.0320000000000000e+03,5388,28142,0,0,0,0
2017,1.0640000000000000e+03,0,0,0,0,0,0
2017,2.2600000000000000e+02,0,0,0,0,0,0
2017,6.8700000000000000e+02,554,2770,23,1807,0,0
2017,7.4500000000000000e+02,3469,17346,205,11838,0,0
2017,1.0900000000000000e+02,0,0,0,0,0,0
2017,8.0800000000000000e+02,456,2279,58,4099,0,0
2017,9.7100000000000000e+02,139,1251,0,0,0,0
