año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2017,6.3900000000000000e+02,646,5094
2017,4.5700000000000000e+02,100,100
2017,6.0900000000000000e+02,0,0
2017,1.0100000000000000e+02,0,0
2017,4.5400000000000000e+02,0,0
2017,3.1800000000000000e+02,0,0
2017,6.0000000000000000e+02,577,3241
2017,5.4500000000000000e+02,397,416
2017,1.0000000000000000e+02,0,0
2017,7.0200000000000000e+02,348,4958
2017,7.7800000000000000e+02,521,2482
2017,3.4100000000000000e+02,0,0
2017,9.9000000000000000e+01,746,6242
2017,7.6700000000000000e+02,601,4003
2017,3.5900000000000000e+02,0,0
2017,9.8000000000000000e+01,0,0
2017,1.3200000000000000e+02,0,0
2017,9.7000000000000000e+01,0,0
2017,1.0300000000000000e+02,0,0
2017,1.1000000000000000e+02,0,0
2017,9.4000000000000000e+01,0,0
2017,9.1000000000000000e+01,0,0
2017,6.6400000000000000e+02,382,6474
2017,9.1800000000000000e+02,730,8570
2017,9.2000000000000000e+01,0,0
2017,9.5000000000000000e+01,0,0
2017,3.0100000000000000e+02,0,0
2017,4.9200000000000000e+02,0,0
2017,8.1100000000000000e+02,0,0
2017,8.1200000000000000e+02,0,0
2017,8.3200000000000000e+02,0,0
2017,8.4100000000000000e+02,0,0
2017,8.5600000000000000e+02,0,0
2017,8.5900000000000000e+02,0,0
2017,8.6100000000000000e+02,0,0
2017,8.8000000000000000e+02,0,0
2017,8.8300000000000000e+02,0,0
2017,8.8400000000000000e+02,0,0
2017,8.7700000000000000e+02,0,0
2017,9.1100000000000000e+02,743,5137
2017,9.1300000000000000e+02,0,0
2017,9.2200000000000000e+02,0,0
2017,9.2300000000000000e+02,0,0
2017,9.2400000000000000e+02,0,0
2017,9.4700000000000000e+02,0,0
2017,9.5100000000000000e+02,0,0
2017,1.1030000000000000e+03,0,0
2017,9.7200000000000000e+02,0,0
2017,9.7300000000000000e+02,0,0
2017,9.7400000000000000e+02,0,0
2017,9.7500000000000000e+02,0,0
2017,9.6000000000000000e+02,150,920
2017,1.0280000000000000e+03,0,0
2017,9.7600000000000000e+02,206,237
2017,9.7700000000000000e+02,0,0
2017,1.0200000000000000e+03,0,0
2017,9.9400000000000000e+02,0,0
2017,9.9500000000000000e+02,0,0
2017,1.0600000000000000e+03,0,0
2017,1.0050000000000000e+03,0,0
2017,1.0610000000000000e+03,0,0
2017,1.0620000000000000e+03,0,0
2017,1.0060000000000000e+03,0,0
2017,1.0880000000000000e+03,0,0
2017,1.0890000000000000e+03,0,0
2017,1.0760000000000000e+03,0,0
2017,1.0780000000000000e+03,0,0
2017,1.0330000000000000e+03,705,7390
2017,1.0370000000000000e+03,0,0
2017,1.0390000000000000e+03,0,0
2017,1.0670000000000000e+03,0,0
2017,1.0650000000000000e+03,0,0
2017,1.0660000000000000e+03,0,0
2017,1.1000000000000000e+03,0,0
2017,1.1050000000000000e+03,0,0
2017,1.1070000000000000e+03,0,0
2017,1.1110000000000000e+03,0,0
2017,1.1210000000000000e+03,0,0
2017,1.1190000000000000e+03,0,0
2017,2.0700000000000000e+02,0,0
2017,4.3100000000000000e+02,0,0
2017,3.8700000000000000e+02,0,0
2017,1.7900000000000000e+02,0,0
2017,6.0600000000000000e+02,0,0
2017,9.2500000000000000e+02,929,10145
2017,5.4100000000000000e+02,0,0
2017,7.9700000000000000e+02,0,0
2017,6.2700000000000000e+02,0,0
2017,1.7300000000000000e+02,0,0
2017,6.3600000000000000e+02,0,0
2017,2.0500000000000000e+02,0,0
2017,8.1400000000000000e+02,0,0
2017,8.8100000000000000e+02,0,0
2017,7.7100000000000000e+02,0,0
2017,5.3300000000000000e+02,252,338
2017,4.4700000000000000e+02,0,0
2017,8.1500000000000000e+02,0,0
2017,8.0100000000000000e+02,0,0
2017,8.0000000000000000e+02,0,0
2017,3.8900000000000000e+02,0,0
2017,6.9500000000000000e+02,0,0
2017,8.1600000000000000e+02,0,0
2017,8.3300000000000000e+02,0,0
2017,8.7000000000000000e+02,0,0
2017,9.2700000000000000e+02,0,0
2017,9.6100000000000000e+02,0,0
2017,9.6200000000000000e+02,0,0
2017,1.0790000000000000e+03,0,0
2017,1.1010000000000000e+03,0,0
2017,6.6600000000000000e+02,1219,11884
2017,3.9200000000000000e+02,0,0
2017,7.9000000000000000e+02,435,8937
2017,6.5000000000000000e+02,1841,7528
2017,8.7600000000000000e+02,1152,11721
2017,9.4400000000000000e+02,0,0
2017,9.5200000000000000e+02,0,0
2017,5.4000000000000000e+01,0,0
2017,3.6700000000000000e+02,0,0
2017,5.3800000000000000e+02,0,0
2017,5.5700000000000000e+02,0,0
2017,6.5300000000000000e+02,0,0
2017,6.4700000000000000e+02,0,0
2017,9.7800000000000000e+02,0,0
2017,9.9600000000000000e+02,0,0
2017,7.2900000000000000e+02,0,0
2017,1.8200000000000000e+02,0,0
2017,6.3300000000000000e+02,0,0
2017,6.8500000000000000e+02,0,0
2017,6.8300000000000000e+02,0,0
2017,9.4500000000000000e+02,0,0
2017,9.5300000000000000e+02,0,0
2017,1.0220000000000000e+03,0,0
2017,1.0490000000000000e+03,0,0
2017,7.9400000000000000e+02,1140,7431
2017,4.1500000000000000e+02,48,406
2017,5.9200000000000000e+02,0,0
2017,4.9700000000000000e+02,0,0
2017,4.5800000000000000e+02,63,4750
2017,7.2600000000000000e+02,149,3226
2017,2.7200000000000000e+02,0,0
2017,8.0500000000000000e+02,611,12578
2017,2.3400000000000000e+02,0,0
2017,6.4000000000000000e+01,0,0
2017,8.4200000000000000e+02,328,5151
2017,8.4300000000000000e+02,186,2712
2017,8.0300000000000000e+02,0,0
2017,2.1100000000000000e+02,0,0
2017,7.7300000000000000e+02,10,262
2017,4.2400000000000000e+02,0,0
2017,2.9800000000000000e+02,0,0
2017,5.9400000000000000e+02,0,0
2017,2.3700000000000000e+02,0,0
2017,1.6000000000000000e+01,0,0
2017,7.6800000000000000e+02,0,0
2017,6.1700000000000000e+02,0,0
2017,2.9700000000000000e+02,0,0
2017,1.0500000000000000e+02,0,0
2017,5.4400000000000000e+02,0,0
2017,8.0400000000000000e+02,0,0
2017,1.0400000000000000e+02,0,0
2017,2.0000000000000000e+01,0,0
2017,5.5000000000000000e+02,402,4235
2017,1.1200000000000000e+02,0,0
2017,8.1800000000000000e+02,0,0
2017,8.8200000000000000e+02,0,0
2017,9.1400000000000000e+02,0,0
2017,9.2800000000000000e+02,0,0
2017,9.6400000000000000e+02,0,0
2017,1.0260000000000000e+03,0,0
2017,1.0680000000000000e+03,0,0
2017,1.1080000000000000e+03,0,0
2017,4.0400000000000000e+02,20,598
2017,2.7000000000000000e+02,0,0
2017,6.7600000000000000e+02,0,0
