año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,4.8600000000000000e+02,9519,787,24,0,10330
2017,5.9500000000000000e+02,27283,5197,345,40,32865
2017,4.3300000000000000e+02,11405,1116,569,5,13095
2017,1.0580000000000000e+03,2027,367,210,4,2608
2017,2.6100000000000000e+02,18737,1102,423,1,20263
2017,7.3000000000000000e+02,61662,5136,1203,60,68061
2017,5.7700000000000000e+02,36508,6724,840,53,44125
2017,7.8800000000000000e+02,129577,16944,1955,76,148552
2017,8.6500000000000000e+02,55259,2824,857,76,59016
2017,9.7900000000000000e+02,16328,491,1235,5,18059
2017,9.9800000000000000e+02,19357,197,1265,5,20824
2017,1.0720000000000000e+03,35102,445,2194,21,37762
2017,2.2100000000000000e+02,5461,1093,93,0,6647
2017,5.0600000000000000e+02,27803,756,307,1,28867
2017,7.2700000000000000e+02,46849,9503,466,62,56880
2017,3.5500000000000000e+02,973,16,11,0,1000
2017,4.8700000000000000e+02,2278,278,54,0,2610
2017,9.3800000000000000e+02,108569,20901,4569,132,134171
2017,8.8600000000000000e+02,3248,1788,12,0,5048
2017,8.3500000000000000e+02,4563,110,0,0,4673
2017,9.9900000000000000e+02,0,0,0,0,0
2017,7.9800000000000000e+02,75630,14894,2983,166,93673
2017,5.0400000000000000e+02,3436,1246,88,0,4770
2017,2.4700000000000000e+02,23163,1480,75,0,24718
2017,2.1600000000000000e+02,20632,1153,37,0,21822
2017,6.5400000000000000e+02,10853,1040,11,5,11909
2017,6.5000000000000000e+01,0,0,0,0,0
2017,4.7200000000000000e+02,14479,1153,369,7,16008
2017,4.2700000000000000e+02,0,0,0,0,0
2017,4.9100000000000000e+02,7372,1196,284,11,8863
2017,5.5100000000000000e+02,13433,563,133,3,14132
2017,1.0600000000000000e+02,0,0,0,0,0
2017,8.1900000000000000e+02,0,0,0,0,0
2017,8.3600000000000000e+02,0,0,0,0,0
2017,9.1500000000000000e+02,0,0,0,0,0
2017,9.4200000000000000e+02,0,0,0,0,0
2017,1.1400000000000000e+03,0,0,0,0,0
2017,7.4800000000000000e+02,86179,18451,95,81,104806
2017,1.9800000000000000e+02,0,0,0,0,0
2017,8.7100000000000000e+02,18228,2811,735,7,21781
2017,9.4800000000000000e+02,29828,1008,43,0,30879
2017,1.0510000000000000e+03,0,0,0,0,0
2017,1.0830000000000000e+03,0,0,0,0,0
2017,1.0960000000000000e+03,0,0,0,0,0
2017,6.7900000000000000e+02,82208,15346,186,113,97853
2017,1.7600000000000000e+02,10319,414,68,0,10801
2017,5.3700000000000000e+02,10949,533,282,3,11767
2017,6.0800000000000000e+02,19413,3818,292,109,23632
2017,5.9600000000000000e+02,11404,3479,448,64,15395
2017,7.4900000000000000e+02,131935,17458,895,216,150504
2017,7.5800000000000000e+02,226566,27612,1095,234,255507
2017,1.1040000000000000e+03,110198,20373,942,103,131616
2017,5.6700000000000000e+02,27,0,11,0,38
2017,6.7700000000000000e+02,88296,10151,700,82,99229
2017,6.7000000000000000e+02,64802,3172,165,1,68140
2017,5.8800000000000000e+02,0,0,0,0,0
2017,7.5300000000000000e+02,217857,32586,831,205,251479
2017,8.8700000000000000e+02,139,843,48,0,1030
2017,1.1300000000000000e+02,0,0,0,0,0
2017,6.1900000000000000e+02,17522,506,20,0,18048
2017,1.6300000000000000e+02,5194,69,1,0,5264
2017,1.3100000000000000e+02,0,0,0,0,0
2017,3.7500000000000000e+02,354,0,79,0,433
2017,1.0900000000000000e+03,146165,20838,2049,43,169095
2017,7.6400000000000000e+02,136866,16903,548,102,154419
2017,1.4000000000000000e+01,20891,126,57,0,21074
2017,6.5700000000000000e+02,32934,3317,355,32,36638
2017,3.6200000000000000e+02,22110,686,160,1,22957
2017,9.8900000000000000e+02,23557,2178,444,22,26201
2017,9.9000000000000000e+02,32099,3679,717,43,36538
2017,6.8000000000000000e+02,139184,18574,2013,81,159852
2017,4.1100000000000000e+02,43346,2693,69,5,46113
2017,2.4100000000000000e+02,29227,2410,27,1,31665
2017,5.5800000000000000e+02,41510,8156,337,57,50060
2017,1.6700000000000000e+02,3864,65,5,0,3934
2017,2.4800000000000000e+02,11617,3288,191,0,15096
2017,2.2400000000000000e+02,23797,1058,42,3,24900
2017,5.9100000000000000e+02,72368,11776,502,63,84709
2017,5.8600000000000000e+02,74170,13584,1369,75,89198
2017,4.5300000000000000e+02,922,40,0,0,962
2017,1.4500000000000000e+02,0,0,0,0,0
2017,5.1100000000000000e+02,70231,11934,665,74,82904
2017,5.3000000000000000e+02,65739,12176,416,61,78392
2017,6.0000000000000000e+00,25817,1125,20,0,26962
2017,1.6100000000000000e+02,0,0,0,0,0
2017,6.2300000000000000e+02,76630,13119,774,57,90580
2017,3.4900000000000000e+02,687,312,56,0,1055
2017,8.7500000000000000e+02,31378,3565,30,0,34973
2017,9.4600000000000000e+02,32447,6521,140,9,39117
2017,1.0230000000000000e+03,68695,12252,202,105,81254
2017,1.0540000000000000e+03,49219,9039,329,63,58650
2017,1.0570000000000000e+03,0,0,0,0,0
2017,1.0310000000000000e+03,0,0,0,0,0
2017,1.0320000000000000e+03,80041,9158,254,60,89513
2017,1.0640000000000000e+03,36679,2646,239,0,39564
2017,2.2600000000000000e+02,43081,2305,52,0,45438
2017,6.8700000000000000e+02,56996,5426,836,79,63337
2017,7.4500000000000000e+02,140414,16117,1175,104,157810
2017,1.0900000000000000e+02,40916,2901,18,0,43835
2017,8.0800000000000000e+02,139439,10593,1055,83,151170
