año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2017,4.5400000000000000e+02,0,812,0,0,0,0,0,0,0,0,1140,6497,34,60,244,14096,0,0,0,0,0,0
2017,3.1800000000000000e+02,0,0,0,0,0,0,0,0,0,0,81,2015,0,0,67,9227,0,0,0,0,0,0
2017,6.0000000000000000e+02,0,0,0,0,0,0,0,0,0,0,122,2196,0,0,0,0,0,0,0,0,0,0
2017,5.4500000000000000e+02,0,0,0,0,1192,22553,0,0,0,0,4970,68728,705,2784,294,2248,170,10501,0,0,43,10688
2017,1.0000000000000000e+02,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2017,7.0200000000000000e+02,1269,1669,0,0,0,0,0,0,50,51,2902,20318,49,248,270,4187,0,0,0,0,0,0
2017,7.7800000000000000e+02,0,0,0,0,0,0,0,0,0,0,3035,88349,0,0,0,0,151,13569,0,0,7,1738
2017,3.4100000000000000e+02,0,0,0,0,0,0,0,0,0,0,946,14246,0,0,59,333,0,0,0,0,0,0
2017,9.9000000000000000e+01,0,0,0,0,0,0,0,0,0,0,844,10959,0,0,522,6597,0,0,0,0,0,0
2017,7.6700000000000000e+02,0,631,0,0,0,0,0,0,0,0,1309,3156,0,0,0,0,0,0,0,0,0,0
2017,3.5900000000000000e+02,0,0,0,0,0,0,0,0,0,0,805,13130,262,1314,226,2017,218,24559,0,0,0,0
2017,9.8000000000000000e+01,0,0,0,0,0,0,0,0,0,0,508,25010,0,0,143,6241,0,0,0,0,0,0
2017,1.3200000000000000e+02,0,0,0,0,0,0,0,0,0,0,368,9530,0,0,290,8752,0,0,0,0,0,0
2017,9.7000000000000000e+01,0,0,0,0,0,0,0,0,0,0,591,8931,14,143,550,1327,0,0,0,0,0,0
2017,1.0300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.1000000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,5250,0,0,0,0,0,0
2017,9.4000000000000000e+01,0,0,0,0,0,0,0,0,0,0,44,1204,0,0,61,1207,0,0,0,0,0,0
2017,9.1000000000000000e+01,0,0,0,0,0,0,0,0,0,0,320,8300,55,120,120,1892,0,0,0,0,0,0
2017,6.6400000000000000e+02,0,0,0,0,0,0,0,0,0,0,4187,50862,88,261,701,5326,0,0,0,0,0,0
2017,9.1800000000000000e+02,2601,4160,0,0,1758,31403,0,0,3,3,12132,199146,569,7266,2664,33801,347,4231,0,0,47,11082
2017,9.2000000000000000e+01,0,0,0,0,0,0,0,0,0,0,120,4966,0,0,117,1669,0,0,0,0,0,0
2017,9.5000000000000000e+01,0,0,0,0,0,0,0,0,0,0,730,10220,102,385,220,1150,0,0,0,0,0,0
2017,3.0100000000000000e+02,0,0,0,0,0,0,0,0,0,0,1913,30227,0,0,0,0,0,0,0,0,0,0
2017,4.9200000000000000e+02,0,356,0,0,0,0,0,0,0,0,2436,34531,0,0,0,0,0,0,0,0,0,0
2017,8.1100000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.1200000000000000e+02,0,0,0,0,2812,53166,0,0,0,0,722,4490,0,0,0,0,0,0,0,0,0,0
2017,8.3200000000000000e+02,0,0,0,0,0,0,0,0,0,0,34,2256,0,0,34,2891,0,0,0,0,0,0
2017,8.4100000000000000e+02,0,0,0,0,0,0,0,0,0,0,130,4160,0,0,52,457,0,0,0,0,0,0
2017,8.5600000000000000e+02,0,0,0,0,0,0,0,0,0,0,292,7599,281,2290,219,4150,0,0,0,0,0,0
2017,8.5900000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.6100000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.8000000000000000e+02,0,0,0,0,0,0,0,0,0,0,618,13547,100,2401,327,4730,0,0,0,0,0,0
2017,8.8300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,3255,0,0,0,0,0,0
2017,8.8400000000000000e+02,0,0,0,0,0,0,0,0,0,0,440,10163,26,117,512,2723,0,0,0,0,0,0
2017,8.7700000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.1100000000000000e+02,0,0,0,0,0,0,0,0,0,0,3154,53447,2387,3776,5962,19722,0,0,0,0,0,0
2017,9.1300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.2200000000000000e+02,167,2,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.2300000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,777,0,0,0,0,0,0
2017,9.2400000000000000e+02,0,0,0,0,1665,32950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.4700000000000000e+02,0,0,0,0,0,0,0,0,0,0,130,3900,0,0,130,1560,0,0,0,0,0,0
2017,9.5100000000000000e+02,0,0,0,0,0,0,0,0,0,0,986,2015,0,0,925,1975,0,0,0,0,0,0
2017,1.1030000000000000e+03,0,0,0,0,0,0,0,0,0,0,682,15697,37,477,368,1475,0,0,0,0,0,0
2017,9.7200000000000000e+02,0,0,0,0,0,0,0,0,0,0,208,1040,0,0,208,974,0,0,0,0,0,0
2017,9.7300000000000000e+02,21,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.7400000000000000e+02,0,0,0,0,0,0,0,0,0,0,515,7862,0,0,273,498,0,0,0,0,0,0
2017,9.7500000000000000e+02,0,0,0,0,0,0,0,0,0,0,250,15970,0,0,215,8027,0,0,0,0,0,0
2017,9.6000000000000000e+02,0,0,0,0,0,0,0,0,0,0,771,24815,14,406,503,13361,0,0,0,0,0,0
2017,1.0280000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9.7600000000000000e+02,0,0,0,0,0,0,0,0,0,0,796,1480,0,0,0,0,0,0,0,0,0,0
2017,9.7700000000000000e+02,0,0,0,0,0,0,0,0,0,0,836,12528,144,211,516,4274,0,0,0,0,0,0
2017,1.0200000000000000e+03,0,0,0,0,0,0,0,0,0,0,79,211,0,0,0,0,0,0,0,0,0,0
2017,9.9400000000000000e+02,0,429,0,0,0,0,0,0,0,0,2563,37217,0,0,0,0,98,14490,0,0,7,2326
2017,9.9500000000000000e+02,0,0,0,0,0,0,0,0,0,0,778,7391,0,0,0,0,0,0,0,0,0,0
2017,1.0600000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0050000000000000e+03,0,0,0,0,0,0,0,0,0,0,104,3326,0,0,37,108,0,0,0,0,0,0
2017,1.0610000000000000e+03,0,0,0,0,0,0,0,0,0,0,8,560,0,0,6,480,0,0,0,0,0,0
2017,1.0620000000000000e+03,0,0,0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0
2017,1.0060000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0880000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0890000000000000e+03,0,0,0,0,0,0,0,0,0,0,547,10390,0,0,0,0,0,0,0,0,0,0
2017,1.0760000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0780000000000000e+03,0,0,0,0,0,0,0,0,0,0,758,8110,0,0,851,15350,0,0,0,0,0,0
2017,1.0330000000000000e+03,0,1618,0,0,0,0,0,0,0,0,4704,51266,0,0,0,0,0,0,0,0,0,0
2017,1.0370000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,10774,0,0,0,0,0,0
2017,1.0390000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0670000000000000e+03,0,0,0,0,0,0,0,0,0,0,506,20042,0,0,0,0,0,0,0,0,0,0
2017,1.0650000000000000e+03,0,0,0,0,0,0,0,0,0,0,1194,60885,31,67,538,27070,0,0,0,0,0,0
2017,1.0660000000000000e+03,0,21,0,0,0,0,0,0,0,0,5752,70432,0,0,0,0,0,0,0,0,0,0
2017,1.1000000000000000e+03,0,0,0,0,0,0,0,0,0,0,593,23140,0,0,0,0,0,0,0,0,0,0
2017,1.1050000000000000e+03,0,0,0,0,0,0,0,0,0,0,1259,25018,238,349,315,4448,0,0,0,0,0,0
2017,1.1070000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.1110000000000000e+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.1210000000000000e+03,0,0,0,0,0,0,0,0,0,0,69,5544,0,0,69,5280,0,0,0,0,0,0
2017,1.1190000000000000e+03,0,0,0,0,0,0,0,0,0,0,161,10584,30,558,61,2585,0,0,0,0,0,0
2017,2.0700000000000000e+02,0,0,0,0,0,0,0,0,0,0,2034,39742,48,1696,0,0,0,0,0,0,0,0
2017,4.3100000000000000e+02,0,0,0,0,0,0,0,0,0,0,2391,25022,0,0,462,3506,0,0,0,0,0,0
2017,3.8700000000000000e+02,0,0,0,0,0,0,0,0,0,0,1590,76397,0,0,0,0,0,0,0,0,0,0
2017,1.7900000000000000e+02,0,0,0,0,0,0,0,0,0,0,68,9356,0,0,0,0,0,0,0,0,0,0
2017,6.0600000000000000e+02,0,0,0,0,0,0,0,0,0,0,2590,42157,0,0,0,0,32,2511,0,0,0,0
2017,9.2500000000000000e+02,1888,2814,0,0,888,18145,0,0,0,0,28279,509029,0,0,2149,38681,201,17972,0,0,34,10397
2017,5.4100000000000000e+02,0,0,0,0,0,0,0,0,0,0,1915,68885,0,0,0,0,0,0,0,0,0,0
2017,7.9700000000000000e+02,0,0,0,0,0,0,0,0,0,0,1236,13639,0,0,0,0,0,0,0,0,0,0
2017,6.2700000000000000e+02,0,0,0,0,404,10257,0,0,0,0,2605,90272,1516,2448,0,0,45,1960,0,0,9,108
2017,1.7300000000000000e+02,0,0,0,0,0,0,0,0,0,0,57,5402,0,0,399,49079,0,0,0,0,0,0
2017,6.3600000000000000e+02,1984,0,0,0,0,0,0,0,0,0,7100,84092,258,846,0,0,929,7798,53,1165,548,16326
2017,2.0500000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.1400000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8.8100000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7.7100000000000000e+02,552,596,316,423,847,15638,0,0,,,1940,52222,251,2554,54,3489,76,7908,0,0,0,0
2017,5.3300000000000000e+02,115,0,0,0,0,0,0,0,0,0,1098,22456,11,21,0,0,0,0,0,0,0,0
2017,4.4700000000000000e+02,0,0,0,0,0,0,0,0,0,0,296,2764,0,0,0,0,0,0,0,0,0,0
2017,8.1500000000000000e+02,0,10,0,0,0,0,0,0,0,0,297,7530,0,0,0,0,0,0,0,0,0,0
2017,8.0100000000000000e+02,1327,1282,0,0,153,2298,0,0,,,2971,60571,0,0,0,0,1200,13433,0,0,0,0
2017,8.0000000000000000e+02,0,0,0,0,0,0,0,0,0,0,1574,12394,0,0,0,0,0,0,0,0,0,0
2017,3.8900000000000000e+02,0,0,0,0,0,0,0,0,0,0,3041,45707,0,0,0,0,0,0,0,0,0,0
2017,6.9500000000000000e+02,0,779,0,0,0,0,0,0,,,742,17899,0,0,0,0,40,12921,0,0,0,0
2017,8.1600000000000000e+02,0,0,0,0,0,0,0,0,0,0,1591,28796,0,0,35,951,0,0,0,0,0,0
