OBJECTID,CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD_ASISITENCIAL,CODPAT,DEPENDENCIA_PATRIMONIAL,CODFU,DEPENDENCIA_FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,X,Y,CalidadGeocodificacion
1,010035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),"ÁLAVA, 43",945006555,,945006587,010590,Vitoria-Gasteiz,01,ÁLAVA,16,PAÍS VASCO,01006,207,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,N,N,N,,N,N,S,,N,SECRETARIA.GERENCIA@osakidetza.eus,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67861197099995,42.8356562870001,Manual
2,010040,HOSPITAL SAN JOSÉ,"BEATO TOMÁS DE ZUMÁRRAGA, 10",945140900,,945145709,010590,Vitoria-Gasteiz,01,ÁLAVA,16,PAÍS VASCO,01008,63,12,MÉDICO-QUIRÚRGICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,diazdecorcueram@vithas.es,1,1,0,1,1,0,0,0,0,0,1,1,1,-2.67664049999996,42.8496614530001,PointAddress
3,010053,HOSPITAL QUIRÓNSALUD VITORIA,"ESPERANZA, 3",945252500,,945279260,010590,Vitoria-Gasteiz,01,ÁLAVA,16,PAÍS VASCO,01002,26,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,josecarlos.mellado@quironsalud.es,1,2,0,0,0,0,0,0,0,0,1,1,0,-2.66803516399995,42.84976126,PointAddress
4,010066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)","SALVATIERRABIDE, 9",945142100,,945143318,010590,Vitoria-Gasteiz,01,ÁLAVA,16,PAÍS VASCO,01007,82,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,info@hospitalsanonofre.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68038623299998,42.837581582,PointAddress
5,010088,HOSPITAL DE LEZA,"CTRA. VITORIA - LOGROÑO, KM. 59",945006900,945006876,945006901,010318,Laguardia,01,ÁLAVA,16,PAÍS VASCO,01309,63,1,GENERAL,6,COMUNIDAD AUTÓNOMA,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,N,N,N,,N,N,N,,N,hospital.leza@osakidetza.eus,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63863544199995,42.5759894380001,Manual
6,010090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),"JOSÉ ATXOTEGUI, S/N",945007000,945007007,945007359,010590,Vitoria-Gasteiz,01,ÁLAVA,16,PAÍS VASCO,01009,811,1,GENERAL,1,SEGURIDAD SOCIAL,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,S,N,N,,N,N,S,,N,,4,0,2,2,3,1,0,2,1,1,3,1,57,-2.69020705599996,42.8549897730001,Manual
7,020019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100,967597179,967243952,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02006,705,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,S,N,,N,N,S,,N,,4,1,0,1,1,1,0,2,0,0,2,1,16,-1.84655696499993,38.985256377,Manual
8,020030,HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100,967597179,967243952,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02006,0,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,020019,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85066961599995,38.9832550680001,StreetAddress
9,020061,CLÍNICA SANTA CRISTINA ALBACETE,"PÉREZ GALDÓS, 7",967223300,,967507790,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02003,42,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,svillanueva@clinicasantacristina.es,1,2,0,0,0,0,0,0,0,0,0,0,0,-1.85770989599996,38.9897934000001,PointAddress
10,020096,HOSPITAL DE HELLÍN,"JUAN RAMÓN JIMÉNEZ, 40",967309500,967309517,967304611,020371,Hellín,02,ALBACETE,08,CASTILLA-LA MANCHA,02400,135,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,N,,N,N,N,,N,gai.hellin@sescam.jccm.es,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.68918989199994,38.504304817,Manual
